Name,Cities,Algorithm,Executer,Iterations,Timelimit,Fitness,Gap,Time
eil51,51,pso,multi,500,None,465.7870178222656,8.33,10.03
eil51,51,pso,multi,1000,None,458.1026306152344,6.54,20.12
eil51,51,pso,gpu,inf,30,450.14447021484375,4.6899999999999995,30.01
eil51,51,pso,gpu,inf,60,450.14447021484375,4.6899999999999995,60.01
eil51,51,pso,gpu,500,None,465.7870178222656,8.33,8.08
eil51,51,pso,gpu,1000,None,458.1026306152344,6.54,15.42
eil51,51,pso,hybrid,inf,30,450.14447021484375,4.6899999999999995,30.02
eil51,51,pso,hybrid,inf,60,450.14447021484375,4.6899999999999995,60.02
eil51,51,pso,hybrid,500,None,465.7870178222656,8.33,10.38
eil51,51,pso,hybrid,1000,None,458.1026306152344,6.54,19.64
berlin52,52,ga,single,inf,30,8026.64453125,6.39,30.00
berlin52,52,ga,single,inf,60,8026.64453125,6.39,60.02
berlin52,52,ga,single,500,None,8059.57763671875,6.83,11.56
berlin52,52,ga,single,1000,None,8059.57763671875,6.83,23.37
berlin52,52,ga,multi,inf,30,8144.96240234375,7.960000000000001,30.00
berlin52,52,ga,multi,inf,60,8144.96240234375,7.960000000000001,60.00
berlin52,52,ga,multi,500,None,8535.8857421875,13.139999999999999,0.57
berlin52,52,ga,multi,1000,None,8223.33203125,9.0,1.09
berlin52,52,ga,gpu,inf,30,8144.96240234375,7.960000000000001,30.00
berlin52,52,ga,gpu,inf,60,8144.96240234375,7.960000000000001,60.00
berlin52,52,ga,gpu,500,None,8535.8857421875,13.139999999999999,0.61
berlin52,52,ga,gpu,1000,None,8223.33203125,9.0,1.45
berlin52,52,ga,hybrid,inf,30,8144.96240234375,7.960000000000001,30.00
berlin52,52,ga,hybrid,inf,60,8144.96240234375,7.960000000000001,60.00
berlin52,52,ga,hybrid,500,None,8535.8857421875,13.139999999999999,0.64
berlin52,52,ga,hybrid,1000,None,8223.33203125,9.0,1.06
berlin52,52,aco,single,inf,30,7548.9931640625,0.06,30.04
berlin52,52,aco,single,inf,60,7548.9931640625,0.06,60.01
berlin52,52,aco,single,500,None,7548.9931640625,0.06,24.84
berlin52,52,aco,single,1000,None,7548.9931640625,0.06,50.20
berlin52,52,aco,multi,inf,30,7544.36572265625,-0.0,30.00
berlin52,52,aco,multi,inf,60,7544.36572265625,-0.0,60.00
berlin52,52,aco,multi,500,None,7548.9931640625,0.06,2.55
berlin52,52,aco,multi,1000,None,7548.9931640625,0.06,5.22
berlin52,52,aco,gpu,inf,30,7544.6630859375,0.0,30.00
berlin52,52,aco,gpu,inf,60,7544.6630859375,0.0,60.00
berlin52,52,aco,gpu,500,None,7731.24658203125,2.48,0.64
berlin52,52,aco,gpu,1000,None,7681.4541015625,1.82,1.28
berlin52,52,aco,hybrid,inf,30,7544.6630859375,0.0,30.00
berlin52,52,aco,hybrid,inf,60,7544.6630859375,0.0,60.00
berlin52,52,aco,hybrid,500,None,7731.24658203125,2.48,0.89
berlin52,52,aco,hybrid,1000,None,7681.4541015625,1.82,1.62
berlin52,52,pso,single,inf,30,7809.74462890625,3.52,30.02
berlin52,52,pso,single,inf,60,7809.74462890625,3.52,60.01
berlin52,52,pso,single,500,None,7737.705078125,2.56,14.84
berlin52,52,pso,single,1000,None,7737.705078125,2.56,28.82
berlin52,52,pso,multi,inf,30,7809.74462890625,3.52,30.00
berlin52,52,pso,multi,inf,60,7809.74462890625,3.52,60.00
berlin52,52,pso,multi,500,None,7737.705078125,2.56,11.63
berlin52,52,pso,multi,1000,None,7737.705078125,2.56,21.71
berlin52,52,pso,gpu,inf,30,7809.74462890625,3.52,30.01
berlin52,52,pso,gpu,inf,60,7809.74462890625,3.52,60.01
berlin52,52,pso,gpu,500,None,7737.705078125,2.56,10.02
berlin52,52,pso,gpu,1000,None,7737.705078125,2.56,19.40
berlin52,52,pso,hybrid,inf,30,7809.74462890625,3.52,30.01
berlin52,52,pso,hybrid,inf,60,7809.74462890625,3.52,60.01
berlin52,52,pso,hybrid,500,None,7737.705078125,2.56,11.57
berlin52,52,pso,hybrid,1000,None,7737.705078125,2.56,22.25
eil76,76,ga,single,inf,30,573.9591674804688,5.24,30.01
eil76,76,ga,single,inf,60,568.983154296875,4.33,60.01
eil76,76,ga,single,500,None,580.4423828125,6.43,11.81
eil76,76,ga,single,1000,None,575.2809448242188,5.48,23.67
